decoder,snr_db,ber,fer,decode_time_s,complexity_proxy,trained_model_used
bcjr,0.0,0.24869791666666666,0.8333333333333334,0.19447373708330437,4096,False
bcjr,2.0,0.022135416666666668,0.25,0.19234607591666494,4096,False
neural_bcjr,0.0,0.24479166666666666,0.8333333333333334,0.19944593999999446,4096,True
neural_bcjr,2.0,0.08984375,0.4166666666666667,0.1977070027500266,4096,True
neural_viterbi,0.0,0.26953125,0.8333333333333334,0.04976535041666352,4096,True
neural_viterbi,2.0,0.022135416666666668,0.25,0.05018070508332547,4096,True
viterbi,0.0,0.2565104166666667,0.8333333333333334,0.047297424750013306,4096,False
viterbi,2.0,0.022135416666666668,0.25,0.04692259316668886,4096,False
