decoder,snr_db,ber,fer,decode_time_s,complexity_proxy,trained_model_used
bcjr,0.0,0.140625,0.75,0.09368912524996631,2048,False
viterbi,0.0,0.0703125,0.75,0.020119381249998014,2048,False
