scenario,K,mean_ber_neural_bcjr,mean_ber_neural_viterbi,mean_decode_time_s_neural_bcjr,mean_decode_time_s_neural_viterbi,mean_fer_neural_bcjr,mean_fer_neural_viterbi,delta_ber_nb_minus_nv,delta_fer_nb_minus_nv,time_ratio_nb_over_nv,quality_winner,practical_choice
amplitude_mismatch,128,0.36648111979166664,0.37284179687499996,0.26618095016657506,0.07343310225017677,0.87875,0.8866666666666667,-0.0063606770833333215,-0.007916666666666683,3.6248087308055177,neural_bcjr,neural_bcjr (quality)
amplitude_mismatch,256,0.37590628829656864,0.3823406862745098,0.4131224409090375,0.1243261782653109,0.9019607843137255,0.907107843137255,-0.006434397977941153,-0.0051470588235295045,3.322891821121036,neural_bcjr,neural_bcjr (quality)
awgn,128,0.21335565476190474,0.22252604166666665,0.2649004170952442,0.07314558485775095,0.5971428571428571,0.5966666666666667,-0.009170386904761907,0.0004761904761904079,3.6215503315805906,neural_bcjr,neural_bcjr (quality)
awgn,256,0.21858568596117423,0.22272712476325757,0.41723441538084766,0.13258174607349876,0.6086931818181818,0.6107386363636363,-0.0041414388020833415,-0.0020454545454545725,3.1469974392217406,neural_bcjr,neural_bcjr (quality)
awgn,512,0.2176674107142857,0.22111700148809524,0.7944926610003902,0.26127183928586806,0.6352380952380952,0.6357142857142858,-0.0034495907738095466,-0.00047619047619062993,3.0408660312262117,neural_bcjr,neural_bcjr (quality)
awgn,1024,0.21896763392857138,0.22283761160714285,1.577166999333588,0.4738909918087025,0.6576190476190477,0.6628571428571428,-0.0038699776785714735,-0.005238095238095153,3.328121923807848,neural_bcjr,neural_bcjr (quality)
burst,128,0.261787109375,0.266134765625,0.20398383487488894,0.05561650037571957,0.7165,0.71475,-0.004347656249999998,0.0017500000000000293,3.6676855518931917,neural_bcjr,neural_bcjr (quality)
burst,256,0.265228515625,0.2699716796875,0.49473797909932904,0.154552921299517,0.887,0.88375,-0.004743164062500027,0.003249999999999975,3.2010910886669546,neural_bcjr,neural_bcjr (quality)
burst,512,0.26955688476562495,0.27326212565104163,0.7946213171047324,0.26082439839613164,0.9872916666666667,0.9862500000000001,-0.003705240885416683,0.0010416666666666075,3.046575864800375,neural_bcjr,neural_bcjr (quality)
impulsive_mismatch,128,0.33164453125,0.335458984375,0.2040004778497241,0.055690169125504285,0.91725,0.918,-0.0038144531250000058,-0.0007500000000000284,3.663132668711874,neural_bcjr,neural_bcjr (quality)
impulsive_mismatch,256,0.3256305847167969,0.3311669006347656,0.4511479488856898,0.1459054697258652,0.9515078125,0.9520703125,-0.005536315917968715,-0.0005624999999999103,3.0920564508878936,neural_bcjr,neural_bcjr (quality)
impulsive_mismatch,512,0.33676310221354167,0.339566650390625,0.7950848220829478,0.2608891525828221,0.9904166666666666,0.9920833333333333,-0.002803548177083337,-0.0016666666666667052,3.047596322850332,neural_bcjr,neural_bcjr (quality)
noise_mismatch,128,0.24795572916666664,0.25650390624999997,0.26130766370833347,0.07237972124976898,0.6475,0.6458333333333334,-0.00854817708333333,0.0016666666666665941,3.6102330762867854,neural_bcjr,neural_bcjr (quality)
noise_mismatch,256,0.26465197993259804,0.2713916015625,0.43393416712757205,0.13584040605152928,0.6852696078431373,0.68875,-0.006739621629901937,-0.0034803921568626883,3.1944410337154383,neural_bcjr,neural_bcjr (quality)
rayleigh,128,0.26609049479166663,0.2773990885416666,0.2397456023322835,0.06585125525011482,0.7141666666666667,0.7379166666666667,-0.011308593749999984,-0.023749999999999938,3.6407142342493994,neural_bcjr,neural_bcjr (quality)
rayleigh,256,0.24534788269927538,0.25345420063405794,0.4649052193240092,0.14727522161940237,0.698713768115942,0.7071014492753622,-0.008106317934782559,-0.008387681159420235,3.156710369959216,neural_bcjr,neural_bcjr (quality)
rayleigh,512,0.2673982747395833,0.27109415690104166,0.7977746204580156,0.2615934325206884,0.7541666666666667,0.7552083333333334,-0.003695882161458386,-0.0010416666666667185,3.049673735195637,neural_bcjr,neural_bcjr (quality)
rayleigh_mismatch,128,0.28583984375,0.291671875,0.20366265612460843,0.055628618775328466,0.75775,0.7585,-0.005832031250000036,-0.0007499999999999174,3.6611129416525023,neural_bcjr,neural_bcjr (quality)
rayleigh_mismatch,256,0.27874603271484377,0.2828642272949219,0.44508778110003594,0.14357346416589412,0.7668359375,0.768734375,-0.004118194580078116,-0.001898437499999961,3.1000699445807935,neural_bcjr,neural_bcjr (quality)
rayleigh_mismatch,512,0.2881892903645833,0.2911031087239583,0.8518061881877536,0.26944116804121826,0.8079166666666666,0.8104166666666667,-0.0029138183593749867,-0.0025000000000000577,3.1613809960081785,neural_bcjr,neural_bcjr (quality)
