run_name,scenario,K,snr_db,ber_bcjr,ber_neural_bcjr,ber_neural_viterbi,ber_viterbi,decode_time_s_bcjr,decode_time_s_neural_bcjr,decode_time_s_neural_viterbi,decode_time_s_viterbi,fer_bcjr,fer_neural_bcjr,fer_neural_viterbi,fer_viterbi,delta_ber_nv_minus_v,delta_ber_nb_minus_b,delta_fer_nv_minus_v,delta_fer_nb_minus_b
research_p02_amplitude_mismatch_k128,amplitude_mismatch,128,-4.0,0.4944791666666667,0.4892708333333333,0.490859375,0.4997916666666667,0.2122506713320035,0.2666866860026494,0.0732564226660179,0.0534236786689143,1.0,1.0,1.0,1.0,-0.008932291666666703,-0.00520833333333337,0.0,0.0
research_p02_rayleigh_k128,rayleigh,128,-6.0,0.4876041666666666,0.4880989583333333,0.486640625,0.4887760416666666,0.1947114119994997,0.2532549716675809,0.070130276667963,0.0497413820001141,1.0,1.0,1.0,1.0,-0.002135416666666612,0.0004947916666666607,0.0,0.0
research_p01_awgn_k256,awgn,256,-6.0,0.4898828125,0.4916276041666667,0.49359375,0.4956901041666666,0.3516372840001713,0.3829475526682411,0.1113573036676583,0.0919327843330878,1.0,1.0,1.0,1.0,-0.002096354166666592,0.0017447916666666896,0.0,0.0
research_p03_impulsive_mismatch_k256,impulsive_mismatch,256,-4.0,0.4856171875,0.4848046875,0.4883359375,0.4903125,0.4016031545998994,0.4580241773991147,0.1453947666020831,0.1045127701993333,1.0,1.0,1.0,1.0,-0.001976562500000001,-0.0008124999999999938,0.0,0.0
research_p03_burst_k128,burst,128,-6.0,0.487734375,0.486671875,0.4893125,0.49115625,0.1759581153994659,0.2042881854001898,0.0560361223999643,0.0454906360011082,1.0,1.0,1.0,1.0,-0.0018437500000000329,-0.0010625000000000218,0.0,0.0
research_p01_awgn_k128,awgn,128,-6.0,0.4905989583333333,0.4903125,0.49,0.491796875,0.213168998666418,0.266653954332384,0.0736308333316507,0.0539910156667853,1.0,1.0,1.0,1.0,-0.001796875000000031,-0.00028645833333329485,0.0,0.0
research_p06_rayleigh_mismatch_k256_neuralfocus,rayleigh_mismatch,256,-4.0,0.481181640625,0.4796533203125,0.484697265625,0.486474609375,0.3757444934991508,0.4374726513749192,0.1417607560013857,0.0978049441248003,1.0,1.0,1.0,1.0,-0.0017773437499999933,-0.0015283203124999978,0.0,0.0
research_p03_rayleigh_mismatch_k256,rayleigh_mismatch,256,-8.0,0.49425,0.4960546875,0.4946328125,0.4963984375,0.3688847243996569,0.4100758581989212,0.1236012631997,0.0965496921972371,1.0,1.0,1.0,1.0,-0.001765624999999993,0.0018046874999999574,0.0,0.0
research_p02_noise_mismatch_k128,noise_mismatch,128,-4.0,0.4572135416666666,0.4596875,0.46671875,0.468203125,0.2162640923335372,0.2686329413339263,0.0743868203325352,0.054316664331903,1.0,1.0,1.0,1.0,-0.0014843749999999822,0.0024739583333334147,0.0,0.0
research_p02_amplitude_mismatch_k128,amplitude_mismatch,128,-8.0,0.4995833333333333,0.5001041666666667,0.4985416666666666,0.5,0.1970168393324517,0.2554308473330456,0.0706550246661451,0.0505902566675407,1.0,1.0,1.0,1.0,-0.0014583333333333948,0.0005208333333333592,0.0,0.0
research_p04_rayleigh_mismatch_k256_dense,rayleigh_mismatch,256,-8.0,0.4954150390625,0.4959130859375,0.495712890625,0.4970849609375,0.3878741597495536,0.4488609555007861,0.1449990240007173,0.1005624133748642,1.0,1.0,1.0,1.0,-0.0013720703124999734,0.0004980468749999911,0.0,0.0
research_p06_rayleigh_mismatch_k256_neuralfocus,rayleigh_mismatch,256,-10.0,0.4956982421875,0.4959375,0.496435546875,0.49771484375,0.4017899168737495,0.4672955211249791,0.1535666993744234,0.1039054136251797,1.0,1.0,1.0,1.0,-0.0012792968750000022,0.00023925781249994893,0.0,0.0
research_p02_noise_mismatch_k256,noise_mismatch,256,-6.0,0.4896875,0.48734375,0.4902864583333333,0.4913802083333333,0.3508201823338944,0.3807634196671036,0.111493003667177,0.091718755334344,1.0,1.0,1.0,1.0,-0.0010937500000000044,-0.002343749999999978,0.0,0.0
research_p03_burst_k256,burst,256,-6.0,0.48871875,0.488890625,0.4936328125,0.4946875,0.4410480068000033,0.4955483163994504,0.1554838578006019,0.1136807818006491,1.0,1.0,1.0,1.0,-0.0010546874999999845,0.00017187500000004352,0.0,0.0
