run_name,scenario,K,snr_db,ber_bcjr,ber_neural_bcjr,ber_neural_viterbi,ber_viterbi,decode_time_s_bcjr,decode_time_s_neural_bcjr,decode_time_s_neural_viterbi,decode_time_s_viterbi,fer_bcjr,fer_neural_bcjr,fer_neural_viterbi,fer_viterbi,delta_ber_nv_minus_v,delta_ber_nb_minus_b,delta_fer_nv_minus_v,delta_fer_nb_minus_b
research_p02_amplitude_mismatch_k128,amplitude_mismatch,128,2.0,0.3676822916666666,0.3605989583333333,0.3837239583333333,0.3690104166666667,0.2198919600003864,0.2715130316644596,0.0747533603355987,0.0550002463332687,1.0,1.0,1.0,1.0,0.014713541666666607,-0.00708333333333333,0.0,0.0
research_p06_impulsive_mismatch_k256_neuralfocus,impulsive_mismatch,256,0.0,0.3664111328125,0.3593359375,0.3927099609375,0.37134765625,0.3766752868748881,0.4395883266247983,0.1426214096250623,0.0980972591252066,1.0,1.0,1.0,1.0,0.0213623046875,-0.0070751953125000044,0.0,0.0
research_p02_amplitude_mismatch_k128,amplitude_mismatch,128,-4.0,0.4944791666666667,0.4892708333333333,0.490859375,0.4997916666666667,0.2122506713320035,0.2666866860026494,0.0732564226660179,0.0534236786689143,1.0,1.0,1.0,1.0,-0.008932291666666703,-0.00520833333333337,0.0,0.0
research_p06_impulsive_mismatch_k256_neuralfocus,impulsive_mismatch,256,-2.0,0.456923828125,0.452109375,0.46517578125,0.462578125,0.3762184585005889,0.4397932031242089,0.1430265230006625,0.0981158103744383,1.0,1.0,1.0,1.0,0.002597656249999969,-0.004814453125000007,0.0,0.0
research_p06_amplitude_mismatch_k256_neuralfocus,amplitude_mismatch,256,2.0,0.377744140625,0.3737060546875,0.390673828125,0.381513671875,0.3973325554998883,0.4532326156245108,0.1439772223755426,0.1025726528745144,1.0,1.0,1.0,1.0,0.009160156249999996,-0.004038085937499991,0.0,0.0
research_p06_amplitude_mismatch_k256_neuralfocus,amplitude_mismatch,256,-2.0,0.49015625,0.487158203125,0.4915625,0.492041015625,0.3644712930001696,0.4008996832507546,0.1184592861259443,0.0950468953756353,1.0,1.0,1.0,1.0,-0.0004785156250000089,-0.0029980468749999933,0.0,0.0
research_p06_amplitude_mismatch_k256_neuralfocus,amplitude_mismatch,256,0.0,0.4690087890625,0.4660595703125,0.473623046875,0.47185546875,0.3654367708761856,0.4024948562493955,0.1193034466254175,0.0952175606250239,1.0,1.0,1.0,1.0,0.0017675781250000022,-0.0029492187499999822,0.0,0.0
research_p04_impulsive_mismatch_k256_dense,impulsive_mismatch,256,-2.0,0.4602099609375,0.4572998046875,0.46525390625,0.4635693359375,0.3678820076239208,0.4329434863729693,0.1423114308749791,0.0960397656269196,1.0,1.0,1.0,1.0,0.0016845703125000222,-0.0029101562500000178,0.0,0.0
research_p03_impulsive_mismatch_k128,impulsive_mismatch,128,-8.0,0.4984375,0.4955625,0.497375,0.496625,0.1758442317977314,0.2034768092004815,0.055857858601259,0.0454168942011892,1.0,1.0,1.0,1.0,0.0007500000000000284,-0.002874999999999961,0.0,0.0
research_p06_rayleigh_mismatch_k256_neuralfocus,rayleigh_mismatch,256,-2.0,0.43607421875,0.4332568359375,0.4436279296875,0.442080078125,0.3752230986246286,0.436957886250093,0.1414148271264275,0.0975280827483948,1.0,1.0,1.0,1.0,0.00154785156249998,-0.0028173828125000466,0.0,0.0
research_p04_impulsive_mismatch_k256_dense,impulsive_mismatch,256,-3.0,0.475888671875,0.47318359375,0.4796044921875,0.4796240234375,0.3677060431258724,0.4347331935005059,0.1428334421250474,0.0959881878762098,1.0,1.0,1.0,1.0,-1.9531249999982236e-05,-0.0027050781249999822,0.0,0.0
research_p05_rayleigh_mismatch_k512,rayleigh_mismatch,512,-4.0,0.4845377604166667,0.4818391927083333,0.4876432291666667,0.4872298177083333,0.9072789599982208,0.959648098500232,0.2871728368334394,0.2337393051669156,1.0,1.0,1.0,1.0,0.0004134114583334014,-0.002698567708333377,0.0,0.0
research_p03_impulsive_mismatch_k128,impulsive_mismatch,128,-6.0,0.4888125,0.4863125,0.49346875,0.491453125,0.1757683755998732,0.2042211313989246,0.055706545400666,0.0453488399997586,1.0,1.0,1.0,1.0,0.002015625000000021,-0.0025000000000000022,0.0,0.0
research_p02_noise_mismatch_k256,noise_mismatch,256,-6.0,0.4896875,0.48734375,0.4902864583333333,0.4913802083333333,0.3508201823338944,0.3807634196671036,0.111493003667177,0.091718755334344,1.0,1.0,1.0,1.0,-0.0010937500000000044,-0.002343749999999978,0.0,0.0
research_p06_rayleigh_mismatch_k256_neuralfocus,rayleigh_mismatch,256,0.0,0.294677734375,0.292490234375,0.3129345703125,0.2999951171875,0.3756426894990727,0.4369537949993537,0.1413339907507907,0.0975864851245569,1.0,1.0,1.0,1.0,0.012939453125,-0.002187500000000009,0.0,0.0
research_p06_impulsive_mismatch_k256_neuralfocus,impulsive_mismatch,256,-4.0,0.484228515625,0.48208984375,0.488857421875,0.4876953125,0.3763591147515399,0.4396183897495211,0.142784228249875,0.0982820597509271,1.0,1.0,1.0,1.0,0.0011621093749999978,-0.0021386718749999978,0.0,0.0
research_p04_rayleigh_mismatch_k256_dense,rayleigh_mismatch,256,-1.0,0.383203125,0.3811181640625,0.3931494140625,0.3912060546875,0.3830083449999801,0.4406865407513396,0.1408006760007993,0.0992435033748915,1.0,1.0,1.0,1.0,0.0019433593749999534,-0.002084960937499991,0.0,0.0
research_p05_impulsive_mismatch_k512,impulsive_mismatch,512,-2.0,0.4622135416666666,0.460166015625,0.4687923177083333,0.4672688802083333,0.7236003944998568,0.7954316754980634,0.2611481234992001,0.1905205134985347,1.0,1.0,1.0,1.0,0.0015234375000000022,-0.0020475260416666363,0.0,0.0
research_p06_impulsive_mismatch_k256_neuralfocus,impulsive_mismatch,256,2.0,0.2174072265625,0.2154541015625,0.2396337890625,0.22080078125,0.3895801975003997,0.4516117178754939,0.1459522546247899,0.1009570530020573,1.0,1.0,1.0,1.0,0.018833007812499997,-0.001953125,0.0,0.0
research_p02_noise_mismatch_k128,noise_mismatch,128,-6.0,0.485,0.4830729166666667,0.4884635416666666,0.486953125,0.2187305656653673,0.2702535856650987,0.0750039903332557,0.0549952039999576,1.0,1.0,1.0,1.0,0.0015104166666666252,-0.0019270833333333015,0.0,0.0
research_p02_amplitude_mismatch_k128,amplitude_mismatch,128,0.0,0.4647916666666666,0.462890625,0.4662239583333333,0.4642447916666666,0.2179839659996408,0.2697382689996933,0.0746323043346637,0.054911566665202,1.0,1.0,1.0,1.0,0.0019791666666666985,-0.001901041666666603,0.0,0.0
research_p03_burst_k256,burst,256,-2.0,0.408796875,0.4069140625,0.419375,0.4155703125,0.4375889432016993,0.4905307915990706,0.1523471780006075,0.112687126599485,1.0,1.0,1.0,1.0,0.0038046875000000147,-0.0018828124999999973,0.0,0.0
research_p02_noise_mismatch_k128,noise_mismatch,128,-8.0,0.496640625,0.494765625,0.495234375,0.492265625,0.2155767089991908,0.268374662665689,0.0741262550009802,0.0543592793354764,1.0,1.0,1.0,1.0,0.00296875000000002,-0.0018750000000000155,0.0,0.0
research_p03_impulsive_mismatch_k128,impulsive_mismatch,128,-2.0,0.449,0.447234375,0.46,0.4535,0.1757716083996929,0.2039680261994945,0.0557613479996798,0.0453679136014543,1.0,1.0,1.0,1.0,0.006500000000000006,-0.001765624999999993,0.0,0.0
research_p04_impulsive_mismatch_k256_dense,impulsive_mismatch,256,-4.0,0.484228515625,0.4826708984375,0.4879443359375,0.4876953125,0.3683285462511412,0.4347997863758064,0.1428289898743969,0.0961745576256362,1.0,1.0,1.0,1.0,0.00024902343749999556,-0.0015576171875000266,0.0,0.0
research_p06_rayleigh_mismatch_k256_neuralfocus,rayleigh_mismatch,256,-4.0,0.481181640625,0.4796533203125,0.484697265625,0.486474609375,0.3757444934991508,0.4374726513749192,0.1417607560013857,0.0978049441248003,1.0,1.0,1.0,1.0,-0.0017773437499999933,-0.0015283203124999978,0.0,0.0
research_p04_rayleigh_mismatch_k256_dense,rayleigh_mismatch,256,-4.0,0.481181640625,0.4796826171875,0.486142578125,0.486474609375,0.3821441873752337,0.4430097522494179,0.143484660625545,0.0991290056246362,1.0,1.0,1.0,1.0,-0.0003320312499999756,-0.0014990234375000244,0.0,0.0
research_p04_rayleigh_mismatch_k256_dense,rayleigh_mismatch,256,-3.0,0.4649169921875,0.4634521484375,0.47107421875,0.4695068359375,0.3997297146250639,0.4589309252522071,0.1473148418738128,0.1035726766254083,1.0,1.0,1.0,1.0,0.0015673828125000178,-0.00146484375,0.0,0.0
